,author
محمد آل خاتم - المنامة,6
المنامة: عبيد السهيمي,6
إيمان الشايب - القطيف,6
لندن: مينا الدروبي,6
خالد خليل- سبق:,6
سبق - جدة:,6
واس - الرياض:,6
 عبدالله القحطاني (أبها),6
 محمد النعمي (جدة),6
عيسى الحربي- سبق- الرياض:,6
أ.د. جابر بن سالم القحطاني,6
علي الشريمي,6
ملحة عبدالله,6
 عهود مكرم (بون),6
 غازي المسعري (وادي الدواسر),6
 شوقي عبدالقادر (القاهرة),6
 افتخار باحفين (نجران),6
 راشد الثويني (حائل),6
 محمد الجاسر (بريدة),6
أبها - سلطان اﻷحمري,6
 إبراهيم شهاب (جدة),6
 سهيل الحمزي (جازان),6
 فهيم الحامد,6
 استطلاع وتصوير: أحمد المقدام,6
 عكاظ (الطائف),6
 زين عنبر (جدة),6
واس - واشنطن,6
الباحة - واس,6
 عكاظ (الوكالات),6
جعفر الصفار – القطيف,6
سلطان السلمي- سبق- جدة:,6
أحمد الزهراني- سبق- مكة المكرمة:,6
صفاء قره محمد ـ بيروت,6
بدر العيسي - الدمام,6
الباحة ـ الوئام ـ محمد السويهري:,6
محمد سالم العرفي - جدة,6
الدوحة: أ ف ب,6
عبدالله الفيصل,6
محمد الحميد,6
بغداد: «الشرق الأوسط»,6
برلين - لندن: «الشرق الأوسط»,6
القاهرة: سوسن أبو حسين,6
شتيوي الغيثي,6
مكة المكرمة - جمعان الكناني,6
الطائف – نواف بن خيشوم,6
نيويورك - أ ف ب,6
تنومة - سعيد معيض,6
أبها - أحمد الشيبان,6
الرياض - أسامة النعيمة,6
إعداد - بكر هذال,6
الرياض - أحمد الشمالي,6
حسن آل عامر,6
محمد العسيري,6
بغداد - رويترز,6
أميمة الجلاهمة,6
&nbsp;عبدالله الدهاس (مكة المكرمة),6
أسامة القحطاني,6
عبدالله فدعق,6
الباحة-الوئام:,6
بانكوك - د ب أ,6
واس - الطائف ,6
وسمي الفزيع - واشنطن,6
تبوك-الوئام:,6
أبها: محمد آل ماطر,6
سليمان الزبيدي - ياسر النهدي - جدة,6
بريدة - ليلى الدباسي:,6
 صالح الحربي (سيدني),6
الرياض - عبدالعزيز العنبر,6
سبق – وكالات:,6
سليمان مخاشن - جدة,6
الرياض - فهد الموركي,6
عبدالعزيز الفكي من الدمام,6
